# HR   HD     Vmag  B-V   SpType            
  1    3      6.7   0.07  A1Vn              
  2    6      6.29  1.1   gG9               
  3    28     4.61  1.04  K0IIIbCN-0.5      
  4    87     5.51  0.9   G5III             
  5    123    5.96  0.67  G5V               
  6    142    5.7   0.52  G1IV              
  7    144    5.59  -0.03 B9III             
  8    166    6.13  0.75  K0V               
  9    203    6.18  0.38  A7V               
  10   256    6.19  0.14  A6Vn              
  11   315    6.43  -0.14 B8IIIpSi          
  12   319    5.94  0.14  A2Vp:             
  13   344    5.68  1.12  K1III             
  14   352    6.07  1.38  K2III+F           
  15   358    2.06  -0.11 B8IVpMnHg         
  16   360    5.99  1.04  gG8               
  17   400    6.19  0.48  F8IV              
  18   402    6.06  1.67  M0III             
  19   417    6.23  0.97  K0III             
  20   431    6.01  0.19  A7IV              
  21   432    2.27  0.34  F2III-IV          
  22   448    5.53  1.04  G9III             
  23   469    6.33  0.74  G4IV              
  24   493    5.42  0.42  F2V               
  25   496    3.88  1.03  K0III             
  26   560    5.51  -0.07 B9Vn              
  27   571    5.03  0.4   F2II              
  28   584    6.74  -0.08 B7IV              
  29   587    5.84  0.98  K1III             
  30   636    5.28  1.05  G8III             
  31   645    5.85  1.01  K0IV              
  32   661    6.64  0.37  F2V+F6V           
  33   693    4.89  0.49  F7V               
  34   720    5.41  1.34  K5III             
  35   739    5.25  0.44  F4V               
  36   743    6.16  1.45  gK4               
  37   787    5.25  1.48  K5III             
  38   829    6.73  -0.13 B2V               
  39   886    2.83  -0.23 B2IV              
  40   895    6.3   0.65  G0III             
  41   905    5.72  0.31  F0IV              
  42   942    5.94  1.55  K5III             
  43   943    6.31  1.48  K5III             
  44   952    6.25  -0.01 A1V               
  45   1013   4.8   1.57  M2+III            
  46   1014   5.12  1.62  M3+III            
  47   1032   5.77  1.72  M0-1III           
  48   1038   4.44  1.66  M3III             
  49   1048   6.24  -0.01 A1pSi             
  50   1061   5.79  0.31  F0IV              
  51   1064   5.75  -0.08 B9V               
  52   1075   6.45  ""    K5                
  53   1083   6.35  -0.02 A1Vn              
  54   1089   6.17  1.34  K3III             
  55   1141   6.35  -0.07 B8Vnn             
  56   1185   6.15  0.05  A2VpSi            
  57   1187   5.67  1.35  K5III             
  58   1221   6.49  1.0   G8-K0III          
  59   1227   6.11  0.92  G8II-III          
  60   1239   5.74  0.88  G8III             
  61   1256   6.47  -0.09 B8III             
  62   1279   5.89  -0.09 B7III             
  63   1280   4.61  0.06  A2V               
  64   1324   6.77  0.46  F3III             
  65   1337   6.14  -0.13 O9IIInn           
  66   1343   6.45  0.37  F4IV-V            
  67   1367   6.17  0.94  K0II              
  68   1404   4.52  0.05  A2V               
  69   1419   6.05  1.03  K0III             
  70   1438   6.11  -0.08 B8V               
  71   1439   5.87  -0.01 A0IV              
  72   1461   6.46  0.68  G0V               
  73   1483   6.33  1.21  K2III             
  74   1522   3.56  1.22  K1.5III           
  75   1527   6.33  1.18  K1III             
  76   1561   6.52  ""    "A0V s"           
  77   1581   4.23  0.58  F9V               
  78   1606   5.9   -0.1  B7V               
  79   1632   5.79  1.59  K5III             
  80   1635   5.37  1.34  gK3               
  81   1663   6.56  ""    A0V               
  82   1671   5.18  0.42  F5III             
  83   1685   5.51  -0.05 B9V               
  84   1737   5.18  1.0   G5III             
  85   1760   5.12  1.82  M5IIe             
  86   1796   6.23  1.22  K3III             
  87   1801   5.97  1.4   K3III             
  88   1835   6.39  0.66  G2V               
  89   1909   6.55  0.0   B9IVMn            
  90   1967   7.39  1.97  S6.5IIIeZr6Ti2    
  91   1976   5.57  -0.12 B5IV              
  92   0      ""    ""    ""                
  93   2011   5.4   0.0   B9III             
  94   2023   6.07  1.22  K1III             
  95   0      ""    ""    ""                
  96   2054   5.74  -0.06 B9IV              
  97   2114   5.77  0.86  G5III             
  98   2151   2.8   0.62  G2IV              
  99   2261   2.39  1.09  K0III             
  100  2262   3.94  0.17  A7V               
  101  2273   6.19  0.9   G8III             
  102  2363   5.98  1.03  G8III             
  103  2411   5.06  1.65  M3III             
  104  2421   5.17  0.03  "A2V s"           
  105  2429   4.81  1.64  M4III             
  106  2436   6.06  1.58  K5III             
  107  2454   6.04  0.43  "F6Va vw"         
