# APOGEE_ID          RA         DEC        GLON               GLAT               J      H      K      VHELIO_AVG  GAIAEDR3_PMRA GAIAEDR3_PMDEC TEFF      LOGG        M_H        ALPHA_M      
  2M13210622-4753436 200.27593  -47.895447 308.0648539762002  14.680430709824357 11.528 10.883 10.743 -31.987946  -8.428143     -0.8896263     4593.54   2.6778798   0.0073535  0.120119     
  2M13211307-4756008 200.304465 -47.933559 308.0797955674323  14.640314070006788 11.166 10.811 10.721 26.206985   28.866953     -2.493098      5464.9395 4.2211885   0.42698    -0.023855701 
  2M13211795-4800370 200.324825 -48.010288 308.08431914485925 14.562506845999966 8.917  8.13   7.918  29.271551   -8.006484     -0.2778476     4093.5007 1.5277808   -0.17661   0.249565     
  2M13211898-4731505 200.329116 -47.530704 308.14662481054427 15.03830084229365  11.493 10.884 10.726 -11.045972  -10.426142    -18.920832     4510.4395 4.613236    0.012533   -0.0102767   
  2M13211982-4804392 200.332606 -48.077564 308.081348509236   14.495091406844582 11.129 10.441 10.28  16.82274    1.5566477     -1.5778943     4521.438  2.4249818   0.072087   0.037051     
  2M13212755-4748272 200.364829 -47.807571 308.1369488775415  14.760548994273462 10.349 9.496  9.214  -35.18803   -4.102643     -0.092615925   3846.2124 1.0570388   -0.38583   0.285245     
  2M13212800-4803593 200.366676 -48.066486 308.10606454138133 14.503361568027623 11.593 10.971 10.822 141.46547   3.3360987     1.9130763      4676.4746 2.2968917   -0.73194   0.31511497   
  2M13212858-4737560 200.369099 -47.632233 308.1617205318994  14.934267876596012 10.788 9.982  9.781  113.55712   -4.078245     -3.5091124     4123.921  1.3928664   -0.55624   0.297895     
  2M13213244-4743365 200.385175 -47.726826 308.1610459095268  14.839060005369253 12.72  12.169 12.08  -44.32927   -8.595735     -1.297326      4863.5693 3.4493408   0.21466    0.016533     
  2M13213486-4758552 200.395285 -47.982018 308.13619105638145 14.584912603010759 7.901  7.236  7.068  -11.531136  -5.6338806    -8.500289      4556.266  1.980669    -0.23982   0.046331003  
  2M13213599-4804027 200.399999 -48.067432 308.1287809481041  14.49974203268154  11.013 10.405 10.258 -9.355607   -4.550825     0.6607189      4720.957  2.1110237   -0.90025   0.327565     
  2M13213819-4757546 200.409133 -47.965187 308.14780041618104 14.600501334054588 8.796  8.243  8.083  13.505002   -4.125945     -3.3823        4916.254  2.6873121   0.13544    -0.012015    
  2M13213939-4802554 200.414145 -48.04874  308.14080716959074 14.517155572891284 12.793 12.1   11.925 78.81133    -0.9017962    -1.6925528     4518.6465 1.3648729   -1.1464    0.203875     
  2M13214064-4734559 200.419351 -47.582218 308.20278555609934 14.979824058880222 10.829 10.267 10.148 -51.67947   -4.232855     -0.84607166    4842.377  2.4268744   -0.1735    0.047584     
  2M13214127-4748047 200.421975 -47.801323 308.17713136114764 14.762119634560653 11.481 10.957 10.832 41.872955   -1.3168608    -1.138497      4827.7324 2.7244945   0.29706    0.0012120008 
  2M13214770-4810139 200.448763 -48.170532 308.14926959283054 14.393460818737795 11.445 10.844 10.732 -49.772526  -6.130683     -0.32332474    4739.631  2.4923522   -0.22269   0.046727     
  2M13214871-4724335 200.452981 -47.409328 308.2478995214584  15.148671252623126 11.996 11.681 11.62  -17.395416  2.3408618     0.83296597     5900.1343 3.8877685   -0.15419   0.018929299  
