# APOGEE_ID          RA         DEC        VHELIO_AVG 
  2M13210622-4753436 200.27593  -47.895447 -31.987946 
  2M13211307-4756008 200.304465 -47.933559 26.206985  
  2M13211795-4800370 200.324825 -48.010288 29.271551  
  2M13211898-4731505 200.329116 -47.530704 -11.045972 
  2M13211982-4804392 200.332606 -48.077564 16.82274   
  2M13212755-4748272 200.364829 -47.807571 -35.18803  
  2M13212800-4803593 200.366676 -48.066486 141.46547  
  2M13212858-4737560 200.369099 -47.632233 113.55712  
  2M13213244-4743365 200.385175 -47.726826 -44.32927  
  2M13213486-4758552 200.395285 -47.982018 -11.531136 
  2M13213599-4804027 200.399999 -48.067432 -9.355607  
  2M13213819-4757546 200.409133 -47.965187 13.505002  
  2M13213939-4802554 200.414145 -48.04874  78.81133   
  2M13214064-4734559 200.419351 -47.582218 -51.67947  
  2M13214127-4748047 200.421975 -47.801323 41.872955  
  2M13214770-4810139 200.448763 -48.170532 -49.772526 
  2M13214871-4724335 200.452981 -47.409328 -17.395416 
  2M13215400-4724368 200.475002 -47.410236 -23.130495 
  2M13215929-4810315 200.497081 -48.175438 -25.551168 
  2M13220575-4803281 200.523966 -48.057823 -54.446632 
  2M13220789-4719455 200.532896 -47.329327 16.74878   
  2M13220940-4814317 200.539197 -48.242149 173.3904   
  2M13221301-4718092 200.554209 -47.302582 -33.283756 
  2M13221711-4741347 200.571312 -47.692986 -5.970913  
  2M13222276-4803305 200.59484  -48.058498 79.65105   
  2M13222277-4747170 200.594881 -47.788059 -52.954956 
  2M13222287-4819043 200.595304 -48.317875 45.39948   
  2M13222550-4815283 200.606266 -48.257866 -36.67229  
  2M13222730-4731533 200.613753 -47.531494 -28.308844 
  2M13222746-4755238 200.614428 -47.923298 92.2991    
  2M13222835-4744420 200.618164 -47.745003 -15.656297 
  2M13222835-4744420 200.618164 -47.745003 -14.685487 
  2M13222969-4741092 200.623729 -47.68589  31.363115  
  2M13223104-4743124 200.629345 -47.720123 -29.60765  
  2M13223104-4743124 200.629345 -47.720123 -29.888075 
  2M13223195-4803388 200.63315  -48.060802 16.157343  
  2M13223500-4755067 200.645864 -47.918549 -55.17897  
  2M13223674-4805349 200.653115 -48.093048 -2.5474343 
  2M13223750-4738088 200.656272 -47.635803 69.72312   
  2M13223838-4727098 200.659954 -47.452747 -27.388187 
  2M13223934-4822235 200.66392  -48.373203 ""         
  2M13224111-4732599 200.671296 -47.549995 -40.008316 
  2M13224203-4729362 200.675159 -47.493408 -19.959291 
  2M13224736-4732504 200.697337 -47.547356 -43.39094  
  2M13224738-4754585 200.697455 -47.916267 13.994695  
  2M13224777-4735577 200.699066 -47.599373 13.116035  
  2M13225434-4821186 200.72644  -48.355183 42.13667   
  2M13225557-4732377 200.731559 -47.543812 48.02201   
  2M13230081-4828117 200.753395 -48.469944 277.19244  
  2M13230175-4751246 200.7573   -47.856853 -7.2711005 
  2M13230269-4720264 200.761235 -47.340691 -7.5888977 
  2M13230269-4720264 200.761235 -47.340691 -7.584675  
  2M13230848-4738197 200.785355 -47.638817 -42.588913 
  2M13230848-4738197 200.785355 -47.638817 -40.937992 
  2M13230897-4721592 200.787402 -47.366459 41.681946  
  2M13231133-4734031 200.797211 -47.567528 13.498812  
  2M13231133-4734031 200.797211 -47.567528 13.602926  
  2M13231155-4758125 200.798155 -47.970139 -21.937912 
  2M13231206-4719304 200.800258 -47.325127 -12.210128 
  2M13231219-4817428 200.800794 -48.295246 121.07822  
  2M13231265-4759020 200.802727 -47.983906 42.881184  
  2M13231326-4758208 200.805257 -47.97245  -10.793497 
  2M13231392-4707519 200.808029 -47.131092 -3.258674  
  2M13231632-4750443 200.818014 -47.845661 -3.4847102 
  2M13231644-4816541 200.818525 -48.281715 -72.18691  
  2M13231855-4739181 200.827314 -47.655052 -17.123497 
  2M13231855-4739181 200.827314 -47.655052 -17.133718 
  2M13232215-4805084 200.842321 -48.085674 -61.825405 
  2M13232226-4830008 200.842758 -48.500248 -34.34478  
  2M13232266-4814065 200.844426 -48.235153 10.996425  
  2M13232297-4700439 200.845745 -47.012222 -21.909374 
  2M13232466-4746338 200.852778 -47.776066 -18.480495 
  2M13232562-4810318 200.856771 -48.17551  -37.86526  
  2M13232814-4751124 200.867269 -47.853451 61.639397  
  2M13232835-4733472 200.868165 -47.563137 76.135315  
  2M13232893-4808588 200.870569 -48.149693 9.394951   
  2M13232953-4724400 200.873048 -47.411129 62.17129   
  2M13233223-4736485 200.884313 -47.61348  -25.926395 
  2M13233314-4800276 200.888099 -48.007683 40.25859   
  2M13233406-4733567 200.891931 -47.565762 -18.310097 
  2M13233428-4734432 200.892841 -47.578674 239.50195  
  2M13233587-4718467 200.899478 -47.312977 3.9620018  
  2M13233822-4718105 200.909264 -47.302929 -70.12651  
  2M13233866-4720009 200.911099 -47.333588 10.048488  
  2M13233935-4825161 200.91397  -48.421158 -11.116863 
  2M13234067-4817279 200.919459 -48.291088 -14.473574 
  2M13234501-4747577 200.93756  -47.799381 43.88424   
  2M13234546-4722192 200.939442 -47.372013 -0.639842  
  2M13234831-4718502 200.951299 -47.313953 21.250046  
  2M13234905-4752310 200.954384 -47.875301 211.15202  
  2M13235005-4721107 200.95857  -47.352982 -12.321976 
  2M13235141-4817053 200.964239 -48.284813 -4.1388206 
  2M13235275-4705453 200.9698   -47.095943 30.416435  
  2M13235275-4705453 200.9698   -47.095943 29.78122   
  2M13235349-4758230 200.972896 -47.973061 0.9048889  
  2M13235357-4756515 200.973242 -47.947659 -21.830595 
  2M13235787-4807286 200.991154 -48.124615 -8.806306  
  2M13235991-4655188 200.999662 -46.921909 -15.177602 
  2M13235992-4725487 200.999694 -47.430195 18.411476  
  2M13240225-4733027 201.009413 -47.550755 20.475359  
  2M13240242-4754399 201.010097 -47.911098 -36.162327 
  2M13240262-4704200 201.010919 -47.072243 -65.81505  
  2M13240511-4755575 201.021319 -47.932644 6.070452   
  2M13240511-4755575 201.021319 -47.932644 5.908501   
  2M13240738-4724118 201.03075  -47.403301 237.5623   
  2M13241192-4801285 201.049695 -48.024609 22.779417  
  2M13241319-4705104 201.054994 -47.086231 3.8364718  
  2M13241542-4815493 201.06425  -48.263706 -27.215164 
  2M13241618-4713113 201.067436 -47.21983  240.69772  
  2M13241701-4807257 201.070884 -48.123814 15.148942  
  2M13241703-4713153 201.070999 -47.220924 242.60045  
  2M13241760-4722030 201.073365 -47.367512 231.70087  
  2M13241858-4810530 201.077436 -48.181396 0.5171195  
  2M13241871-4745067 201.077999 -47.751877 239.14601  
  2M13242041-4719352 201.085069 -47.326462 228.04494  
  2M13242124-4828089 201.088524 -48.469158 -21.480356 
